[2024-11-18T17:03:49.727647+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:04:03.611164+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:07:51.203762+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:07:52.548742+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:07:53.199149+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:08:08.437735+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:08:26.170130+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:09:33.666739+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:11:59.701035+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:12:00.031918+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:12:00.662871+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:12:05.771915+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:31:58.672104+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:32:02.059413+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:48:20.388095+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:48:54.959568+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:55:49.286707+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:56:06.437473+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:58:00.918976+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:58:02.955517+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:59:08.343526+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:59:10.883355+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:59:11.802107+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:59:12.285741+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T17:59:25.556400+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T18:00:02.437983+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
[2024-11-18T18:00:05.050507+00:00] app.INFO: 🚀 API started with success, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 25 [] []
