[2024-11-21T17:47:55.313389+00:00] app.INFO: Connected in database with success | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\app\Configs\Database\Connection\DatabaseConnection.php | Line: 53 [] []
[2024-11-21T17:47:58.352401+00:00] app.INFO: 🚀 API started with success in mode of development, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 36 [] []
[2024-11-21T17:50:00.855877+00:00] app.INFO: Connected in database with success | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\app\Configs\Database\Connection\DatabaseConnection.php | Line: 53 [] []
[2024-11-21T17:50:00.895232+00:00] app.INFO: 🚀 API started with success in mode of development, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 36 [] []
[2024-11-21T17:50:43.996072+00:00] app.INFO: Connected in database with success | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\app\Configs\Database\Connection\DatabaseConnection.php | Line: 53 [] []
[2024-11-21T17:50:44.063911+00:00] app.INFO: 🚀 API started with success in mode of development, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 36 [] []
[2024-11-21T18:04:55.480549+00:00] app.INFO: Connected in database with success | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\app\Configs\Database\Connection\DatabaseConnection.php | Line: 53 [] []
[2024-11-21T18:04:55.552204+00:00] app.INFO: 🚀 API started with success in mode of development, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 36 [] []
[2024-11-21T18:07:25.642048+00:00] app.INFO: Connected in database with success | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\app\Configs\Database\Connection\DatabaseConnection.php | Line: 53 [] []
[2024-11-21T18:07:25.692432+00:00] app.INFO: 🚀 API started with success in mode of development, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 36 [] []
[2024-11-21T18:10:09.309957+00:00] app.INFO: Connected in database with success | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\app\Configs\Database\Connection\DatabaseConnection.php | Line: 53 [] []
[2024-11-21T18:10:09.364403+00:00] app.INFO: 🚀 API started with success in mode of development, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\index.php | Line: 36 [] []
[2024-11-21T18:12:18.100488+00:00] app.INFO: Connected in database with success | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\app\Configs\Database\Connection\DatabaseConnection.php | Line: 53 [] []
[2024-11-21T18:12:18.162638+00:00] app.INFO: 🚀 API started with success in mode of development, running on port 3000 | File: C:\Users\R1TKILL\Documents\vscProjects\Php\API_Test_PHP\app\index.php | Line: 36 [] []
